,Country,GDP_USD_BILLION
0,World,126295.33
1,United States,32383.92
2,China,20851.59
3,Germany,5452.86
4,Japan,4379.25
5,United Kingdom,4264.79
6,India,4153.19
7,France,3596.09
8,Italy,2738.16
9,Russia,2656.45
10,Brazil,2635.91
11,Canada,2507.34
12,Australia,2123.96
13,Mexico,2120.86
14,Spain,2091.22
15,South Korea,1931.01
16,Turkey,1640.22
17,Indonesia,1539.87
18,Netherlands,1449.7
19,Saudi Arabia,1388.68
20,Switzerland,1146.91
21,Poland,1134.25
22,Taiwan,976.72
23,Ireland,779.38
24,Belgium,776.73
25,Sweden,760.48
26,Israel,719.85
27,Argentina,688.38
28,Singapore,659.57
29,Austria,623.72
30,United Arab Emirates,621.55
31,Norway,599.41
32,Thailand,580.0
33,Colombia,539.53
34,Vietnam,527.27
35,Malaysia,516.43
36,Philippines,512.22
37,Bangladesh,510.7
38,Denmark,503.77
39,Romania,480.83
40,South Africa,479.96
41,Pakistan,452.19
42,Hong Kong,450.14
43,Czech Republic,432.6
44,Egypt,429.64
45,Chile,407.85
46,Peru,380.9
47,Portugal,380.64
48,Nigeria,377.36
49,Kazakhstan,360.46
