Rank,Bank Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
1,Industrial and Commercial Bank of China,7645.8,5734.35,6651.85,725280.59
2,Agricultural Bank of China,6974.82,5231.12,6068.09,661631.43
3,China Construction Bank,6524.05,4893.04,5675.92,618871.38
4,Bank of China,5484.11,4113.08,4771.18,520222.67
5,JPMorgan Chase,4424.9,3318.68,3849.66,419746.01
6,Bank of America,3411.74,2558.8,2968.21,323637.66
7,BNP Paribas,3279.3,2459.48,2852.99,311074.4
8,HSBC,3212.35,2409.26,2794.74,304723.52
9,Crédit Agricole,3148.91,2361.68,2739.55,298705.6
10,Postal Savings Bank of China,2671.0,2003.25,2323.77,253371.06
